"","PopulationOfOrigin","NumberOfLoci","AK.EastBC.AB","Wa.To.NorCalCoast","CentCalCoast","CalSierra","Basin.Rockies","Eastern","MaxColumn","MaxPosterior"
"wAKDE01","wAKDE",95,0.99999,2e-05,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKDE02","wAKDE",94,0.99622,0.00327,0,0,5e-04,0,"AK.EastBC.AB",0.99622
"wAKDE03","wAKDE",95,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKDE04","wAKDE",95,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKDE05","wAKDE",95,0.99984,0.00015,0,0,0,0,"AK.EastBC.AB",0.99984
"wAKDE06","wAKDE",95,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKDE07","wAKDE",95,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKDE08","wAKDE",95,0.99911,0,0,0,0.00089,0,"AK.EastBC.AB",0.99911
"wAKDE09","wAKDE",91,0.99794,0.00206,0,0,0,0,"AK.EastBC.AB",0.99794
"wAKDE10","wAKDE",95,0.99991,1e-05,0,0,8e-05,0,"AK.EastBC.AB",0.99991
"wAKDE12","wAKDE",94,0.98218,0.00024,0,0,0.01757,0,"AK.EastBC.AB",0.98218
"wAKDE13","wAKDE",95,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKDE14","wAKDE",94,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKDE15","wAKDE",90,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKDE16","wAKDE",94,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKDE17","wAKDE",93,0.99989,0,0,0,0.00012,0,"AK.EastBC.AB",0.99989
"wAKDE18","wAKDE",95,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKDE19","wAKDE",94,0.99934,0.00038,0,0,0.00028,0,"AK.EastBC.AB",0.99934
"wAKDE20","wAKDE",95,1.00001,0,0,0,0,0,"AK.EastBC.AB",1.00001
"wAKDE21","wAKDE",96,0.99999,1e-05,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKDE22","wAKDE",94,0.99977,0.00023,0,0,0,0,"AK.EastBC.AB",0.99977
"wAKDE23","wAKDE",96,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKDE24","wAKDE",95,0.99991,0,0,0,8e-05,0,"AK.EastBC.AB",0.99991
"wAKDE25","wAKDE",96,0.99994,6e-05,0,0,0,0,"AK.EastBC.AB",0.99994
"wAKDE26","wAKDE",95,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKDE27","wAKDE",95,0.99988,1e-05,0,0,0.00012,0,"AK.EastBC.AB",0.99988
"wAKDE28","wAKDE",94,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKDE29","wAKDE",95,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKDE30","wAKDE",96,0.9997,0.00028,0,0,1e-05,0,"AK.EastBC.AB",0.9997
"wAKYA01","wAKYA",96,0.99982,0.00018,0,0,0,0,"AK.EastBC.AB",0.99982
"wAKYA02","wAKYA",96,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKYA03","wAKYA",96,0.99888,0.00112,0,0,1e-05,0,"AK.EastBC.AB",0.99888
"wAKYA04","wAKYA",96,0.99993,5e-05,0,0,3e-05,0,"AK.EastBC.AB",0.99993
"wAKYA05","wAKYA",96,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKYA06","wAKYA",96,0.99999,0,0,0,1e-05,0,"AK.EastBC.AB",0.99999
"wAKYA07","wAKYA",91,0.99887,0.00101,0,0,0.00012,0,"AK.EastBC.AB",0.99887
"wAKYA08","wAKYA",96,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKYA09","wAKYA",96,0.99998,2e-05,0,0,0,0,"AK.EastBC.AB",0.99998
"wAKYA10","wAKYA",96,0.99964,0,0,0,0.00036,0,"AK.EastBC.AB",0.99964
"wAKYA11","wAKYA",96,0.99999,1e-05,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKYA12","wAKYA",96,0.99964,0.00034,0,0,1e-05,0,"AK.EastBC.AB",0.99964
"wAKYA13","wAKYA",96,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKYA14","wAKYA",96,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKYA15","wAKYA",95,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKYA16","wAKYA",96,0.99998,0,0,0,0,0,"AK.EastBC.AB",0.99998
"wAKYA17","wAKYA",96,0.99998,1e-05,0,0,1e-05,0,"AK.EastBC.AB",0.99998
"wAKYA18","wAKYA",96,0.99364,0.00024,0,0,0.00612,0,"AK.EastBC.AB",0.99364
"wAKYA19","wAKYA",96,0.99958,8e-05,0,0,0.00032,0,"AK.EastBC.AB",0.99958
"wAKYA20","wAKYA",95,0.99989,0.00013,0,0,0,0,"AK.EastBC.AB",0.99989
"wAKYA21","wAKYA",96,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG01","wAKUG",90,0.99972,0.00029,0,0,0,0,"AK.EastBC.AB",0.99972
"wAKUG02","wAKUG",94,1.00001,0,0,0,0,0,"AK.EastBC.AB",1.00001
"wAKUG03","wAKUG",94,1.00001,0,0,0,0,0,"AK.EastBC.AB",1.00001
"wAKUG04","wAKUG",94,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG05","wAKUG",93,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG06","wAKUG",94,0.99731,0.00014,0,0,0.00256,0,"AK.EastBC.AB",0.99731
"wAKUG07","wAKUG",95,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG08","wAKUG",93,1.00001,0,0,0,0,0,"AK.EastBC.AB",1.00001
"wAKUG09","wAKUG",95,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKUG10","wAKUG",95,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKUG11","wAKUG",95,1.00001,0,0,0,0,0,"AK.EastBC.AB",1.00001
"wAKUG12","wAKUG",91,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG13","wAKUG",95,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG14","wAKUG",93,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG15","wAKUG",93,0.99953,1e-05,0,0,0.00047,0,"AK.EastBC.AB",0.99953
"wAKUG16","wAKUG",94,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG17","wAKUG",93,1.00001,0,0,0,0,0,"AK.EastBC.AB",1.00001
"wAKUG18","wAKUG",94,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG19","wAKUG",95,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKUG21","wAKUG",90,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKUG22","wAKUG",92,1,0,0,0,0,0,"AK.EastBC.AB",1
"wAKUG23","wAKUG",94,1.00001,0,0,0,0,0,"AK.EastBC.AB",1.00001
"wAKUG24","wAKUG",92,0.99999,1e-05,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKUG25","wAKUG",94,0.99999,0,0,0,0,0,"AK.EastBC.AB",0.99999
"wAKUG26","wAKUG",95,0.99975,0.00026,0,0,0,0,"AK.EastBC.AB",0.99975
"wAKUG27","wAKUG",95,0.99872,0.00088,0,0,4e-04,0,"AK.EastBC.AB",0.99872
"wAKJU01","wAKJU",96,0.99991,9e-05,0,0,1e-05,0,"AK.EastBC.AB",0.99991
"wAKJU02","wAKJU",96,1,0,0,0,0,0,"AK.EastBC.AB",1
