Loc1_a Loc1_b Loc2_a Loc2_b Loc3_a Loc3_b Loc4_a Loc4_b Loc5_a Loc5_b Loc6_a Loc6_b Loc7_a Loc7_b
227 267 127 127 155 187 128 133 184 184 85 87 275 278
231 267 123 127 159 169 128 133 184 184 85 85 275 278
217 223 127 131 159 169 123 133 184 188 0 0 275 278
217 219 127 127 187 187 128 133 184 184 85 87 275 275
217 227 127 131 187 187 128 133 184 186 85 85 275 278
231 267 123 127 187 193 123 123 184 184 85 85 275 278
217 219 127 127 155 187 128 133 184 186 85 89 275 275
217 223 123 127 187 193 123 133 184 184 85 85 275 275
0 0 127 127 187 187 128 133 184 184 0 0 275 278
217 219 127 131 187 187 123 128 184 184 87 89 275 278
231 267 123 127 187 193 128 133 184 184 85 87 275 275
227 267 127 127 169 187 123 128 184 184 87 89 275 275
217 223 127 131 169 193 123 128 184 188 85 85 275 278
223 267 127 131 159 187 128 133 184 188 85 85 275 275
227 267 127 131 187 187 123 128 184 184 85 89 275 278
219 267 127 131 155 187 128 133 184 186 87 89 275 275
227 267 127 131 169 187 128 133 184 186 85 87 275 278
217 227 127 127 155 187 123 128 184 184 85 87 275 275
227 267 127 131 187 187 123 128 184 184 85 89 275 278
217 227 127 131 155 187 123 128 184 184 85 87 275 278
217 227 127 131 155 169 128 133 184 186 85 87 275 278
217 231 127 131 187 193 123 133 184 184 85 85 275 278
231 267 127 131 159 187 123 123 184 188 85 87 275 275
227 267 127 127 155 169 123 128 184 184 85 87 275 275
217 219 0 0 0 0 123 128 184 184 85 87 0 0
217 227 127 131 155 187 123 128 184 184 85 89 275 275
217 223 123 127 159 169 128 133 184 184 85 85 275 275
217 219 127 131 169 187 123 128 184 184 87 89 275 278
217 227 127 131 155 169 123 128 184 186 85 87 275 278
219 267 127 127 187 187 123 128 184 184 85 85 275 278
217 231 123 127 159 169 128 133 184 184 85 87 275 278
217 219 127 131 187 187 128 133 184 186 85 87 275 278
219 267 127 127 169 187 128 133 184 184 85 87 275 278
219 267 127 131 155 187 123 128 184 186 85 89 275 275
217 223 127 131 159 169 123 128 184 188 85 87 275 275
217 227 127 127 155 169 123 128 184 184 85 87 275 278
217 227 127 127 155 169 128 133 184 184 85 85 275 275
219 267 127 131 155 169 123 128 184 186 85 85 275 278
227 267 127 131 155 169 123 128 184 186 85 85 275 278
217 223 123 127 159 169 123 128 184 188 85 85 275 275
217 227 127 131 169 187 128 133 184 186 85 85 275 278
217 227 127 127 169 187 128 133 184 184 85 87 275 275
227 267 127 131 169 187 128 133 184 186 85 87 275 278
223 267 123 127 169 193 123 123 184 184 85 85 275 278
217 227 127 127 187 187 128 133 184 184 85 89 275 278
217 223 127 131 169 193 128 133 184 188 85 87 275 275
217 219 127 127 155 187 128 133 184 186 85 87 275 275
231 267 123 127 0 0 123 123 184 184 85 85 0 0
223 267 123 127 159 169 123 123 184 184 85 87 275 278
217 231 127 131 187 193 123 123 184 188 85 87 275 275
219 267 127 127 155 187 123 128 184 184 85 89 275 275
223 267 123 127 187 193 123 133 184 184 85 85 275 278
227 267 127 127 155 187 123 128 184 184 85 85 275 275
217 219 127 127 187 187 128 133 184 186 85 85 275 275
219 267 127 131 169 187 123 128 184 186 85 85 275 278
227 267 127 127 187 187 123 128 184 184 87 89 275 278
217 231 123 127 159 169 123 133 184 184 85 87 275 275
231 267 123 127 159 187 0 0 184 184 85 85 275 275
219 267 127 131 169 187 128 133 184 186 85 89 275 275
223 267 127 131 159 187 123 123 184 188 85 85 275 278
217 223 127 131 169 193 128 133 184 188 85 85 275 275
219 267 127 131 155 169 128 133 184 184 85 89 275 278
217 231 123 127 187 193 123 123 184 188 85 85 275 278
227 267 127 131 155 169 128 133 184 186 85 87 275 278
217 223 127 131 187 193 123 133 184 188 85 85 275 275
217 227 127 127 155 169 128 133 184 186 85 85 275 275
223 267 127 131 159 187 123 123 184 188 85 87 275 278
227 267 127 131 155 169 123 128 184 186 87 89 275 275
217 219 127 127 155 187 128 133 184 184 85 87 275 278
217 227 127 127 169 187 0 0 184 186 85 87 275 278
227 267 127 127 155 187 123 128 184 184 87 89 275 278
217 227 127 127 187 187 123 128 184 184 85 85 275 278
217 219 127 131 169 187 128 133 184 186 85 85 275 275
231 267 123 127 169 193 128 133 184 188 85 87 275 278
217 219 127 131 155 187 123 128 184 186 85 89 275 278
219 267 127 131 155 169 128 133 184 186 87 89 275 275
231 267 123 127 159 169 123 133 184 184 85 85 275 275
217 227 127 127 155 169 128 133 184 184 0 0 275 278
231 267 123 127 169 193 128 133 184 184 85 85 275 275
217 227 127 131 155 187 128 133 184 186 85 85 275 275
223 267 127 131 159 187 123 128 184 188 85 85 275 275
217 227 127 127 169 187 128 133 184 184 85 85 275 275
217 227 127 127 169 187 128 133 184 184 85 87 275 275
217 219 127 127 187 187 123 128 184 184 85 89 275 278
217 219 127 131 169 187 128 133 184 186 87 89 275 275
231 267 123 127 169 193 123 128 184 184 85 85 275 275
231 267 127 131 159 169 128 133 184 188 85 85 275 275
217 227 127 127 187 187 123 128 184 184 87 89 275 275
217 223 127 131 159 187 123 133 184 188 85 87 275 278
231 267 123 127 187 193 123 128 184 184 85 87 275 278
217 227 127 131 187 187 128 133 184 186 87 89 275 278
217 223 127 131 159 187 123 123 184 188 85 87 275 278
219 267 127 131 155 169 128 133 184 186 85 89 275 278
223 267 127 131 159 169 128 133 184 188 85 85 275 275
217 223 127 131 159 169 123 123 184 188 85 87 275 275
0 0 127 131 169 187 123 128 184 186 0 0 275 278
