OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Fishery2011	T059343	---	---	---	---	---	---	---	---	---	---	12	15	0	0	0	---	---	---	---	---	---
Fishery2011	T059344	T071398	T071353	FRHfa	2008	0.000000	0.000000	22.840513	0.999327	0.999327	C_Se_Se	8	9	0	1	0	0	0	0	0	0	---
Fishery2011	T059345	T068802	T068798	FRHfa	2008	0.000000	0.000000	23.180407	0.999521	0.999521	C_Se_Se	39	61	0	1	1	0	1	0	0	0	---
Fishery2011	T059346	---	---	---	---	---	---	---	---	---	---	71	91	0	0	0	---	---	---	---	---	---
Fishery2011	T059347	---	---	---	---	---	---	---	---	---	---	8	8	0	0	0	---	---	---	---	---	---
Fishery2011	T059348	T071275	T070264	FRHfa	2008	0.151135	0.337000	6.545559	0.000124	0.549294	U_F	81	84	0	1	0	0	0	2	0	3	Ots_118938.325,Ots_u07.49.290,Ots_103041.52
Fishery2011	T059349	---	---	---	---	---	---	---	---	---	---	16	18	0	0	0	---	---	---	---	---	---
Fishery2011	T059350	T067510	T067495	FRHfa	2008	0.000000	0.000000	22.253185	0.998790	0.998790	C_Se_Se	8	9	0	1	0	0	1	0	0	0	---
Fishery2011	T059351	T067881	T067779	FRHfa	2008	0.196491	0.456000	4.359143	0.000014	0.726521	C_U_U	105	134	0	1	0	0	0	1	0	4	Ots_112419.131,Ots_AsnRS.60,Ots_102414.395,Ots_100884.287
Fishery2011	T059352	T029379	T029858	FRHsp	2007	0.718276	0.098000	11.276399	0.013911	0.740263	C_U_U	225	254	0	3	0	1	0	0	1	3	Ots_105105.613,Ots_118938.325,Ots_112301.43
Fishery2011	T059353	T030000	T030250	FRHsp	2007	1.370587	0.748000	1.674373	0.000001	0.964861	C_U_U	141	128	0	1	1	0	10	0	0	4	Ots_131906.141,Ots_107806.821,OTALDBINT1.SNP1,Ots_123921.111
Fishery2011	T059354	---	---	---	---	---	---	---	---	---	---	13	17	0	0	0	---	---	---	---	---	---
Fishery2011	T059355	---	---	---	---	---	---	---	---	---	---	23	35	0	0	1	---	---	---	---	---	---
Fishery2011	T059356	---	---	---	---	---	---	---	---	---	---	37	43	0	0	0	---	---	---	---	---	---
Fishery2011	T059357	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T059358	---	---	---	---	---	---	---	---	---	---	52	68	0	0	0	---	---	---	---	---	---
Fishery2011	T062623	---	---	---	---	---	---	---	---	---	---	71	71	0	0	0	---	---	---	---	---	---
Fishery2011	T062624	T071170	T071282	FRHfa	2008	0.000000	0.000000	20.528057	0.993245	0.993245	C_Se_Se	72	60	0	1	0	0	0	0	1	1	Ots_101704.143
Fishery2011	T062625	T068956	T069506	FRHfa	2008	0.000000	0.000000	21.650850	0.997792	0.997792	C_Se_Se	5	12	0	1	0	0	0	0	0	0	---
Fishery2011	T062626	---	---	---	---	---	---	---	---	---	---	3	11	0	0	0	---	---	---	---	---	---
Fishery2011	T062627	---	---	---	---	---	---	---	---	---	---	20	21	0	0	0	---	---	---	---	---	---
Fishery2011	T062628	---	---	---	---	---	---	---	---	---	---	4	10	0	0	0	---	---	---	---	---	---
Fishery2011	T062629	---	---	---	---	---	---	---	---	---	---	4	2	0	0	0	---	---	---	---	---	---
Fishery2011	T062630	---	---	---	---	---	---	---	---	---	---	21	26	0	0	1	---	---	---	---	---	---
Fishery2011	T062631	---	---	---	---	---	---	---	---	---	---	77	89	0	0	0	---	---	---	---	---	---
Fishery2011	T062632	---	---	---	---	---	---	---	---	---	---	114	129	0	0	0	---	---	---	---	---	---
Fishery2011	T062633	---	---	---	---	---	---	---	---	---	---	46	48	0	0	0	---	---	---	---	---	---
Fishery2011	T062634	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T062635	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062636	---	---	---	---	---	---	---	---	---	---	0	0	0	0	2	---	---	---	---	---	---
Fishery2011	T062637	---	---	---	---	---	---	---	---	---	---	155	148	0	0	0	---	---	---	---	---	---
Fishery2011	T062638	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062639	---	---	---	---	---	---	---	---	---	---	24	40	0	0	0	---	---	---	---	---	---
Fishery2011	T062640	---	---	---	---	---	---	---	---	---	---	66	82	0	0	0	---	---	---	---	---	---
Fishery2011	T062641	T056312	T056138	FRHfa	2008	0.000000	0.000000	22.027207	0.998483	0.998483	C_Se_Se	113	132	0	1	0	1	0	0	0	0	---
Fishery2011	T062642	---	---	---	---	---	---	---	---	---	---	76	74	0	0	0	---	---	---	---	---	---
Fishery2011	T062643	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062644	---	---	---	---	---	---	---	---	---	---	74	83	0	0	0	---	---	---	---	---	---
Fishery2011	T062645	---	---	---	---	---	---	---	---	---	---	63	79	0	0	0	---	---	---	---	---	---
Fishery2011	T062646	T030006	T029999	FRHsp	2007	1.211320	0.911000	2.391654	0.000002	0.973576	C_U_U	111	107	0	4	0	0	10	1	1	2	Ots_102414.395,Ots_105132.200
Fishery2011	T062647	---	---	---	---	---	---	---	---	---	---	52	69	1	0	0	---	---	---	---	---	---
Fishery2011	T062648	T030469	T030324	FRHsp	2007	0.980850	0.989000	2.240798	0.000002	0.911914	C_U_U	109	124	1	7	1	0	0	1	1	4	Ots_96222.525,Ots_102457.132,Ots_123921.111,Ots_103041.52
Fishery2011	T062649	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062650	---	---	---	---	---	---	---	---	---	---	2	1	0	0	0	---	---	---	---	---	---
Fishery2011	T062651	T054509	T054084	FRHsp	2008	1.309885	0.340000	7.961920	0.000513	0.455845	C_U_U	183	233	0	1	1	1	0	2	0	4	Ots_110495.380,Ots_Prl2,Ots_102867.609,Ots_RFC2.558
Fishery2011	T062652	---	---	---	---	---	---	---	---	---	---	16	17	0	0	1	---	---	---	---	---	---
Fishery2011	T062653	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T062654	---	---	---	---	---	---	---	---	---	---	67	69	0	0	0	---	---	---	---	---	---
Fishery2011	T062655	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062656	T067994	T067903	FRHfa	2008	0.179571	0.409000	9.303241	0.001957	0.596734	C_U_U	681	778	1	35	1	1	0	0	1	3	Myc.366,Ots_123921.111,Ots_129458.451
Fishery2011	T062659	T054781	T054911	FRHsp	2008	0.933478	0.146000	8.376527	0.000776	0.560729	C_U_U	122	141	0	1	2	0	0	2	0	4	Ots_102420.494,Ots_CD59.2,Ots_102457.132,Ots_112208.722
Fishery2011	T062660	T028765	T028659	FRHsp	2006	1.253527	0.876000	4.477614	0.000016	0.785420	C_U_U	111	162	0	4	1	0	0	1	1	4	Ots_112419.131,Ots_128757.61,Ots_111681.657,Ots_RFC2.558
Fishery2011	T062661	---	---	---	---	---	---	---	---	---	---	38	51	0	0	1	---	---	---	---	---	---
Fishery2011	T062662	T071394	T071410	FRHfa	2008	0.000000	0.000000	20.447694	0.992683	0.992683	C_Se_Se	25	32	0	1	0	6	1	1	0	1	Ots_112208.722
Fishery2011	T062663	---	---	---	---	---	---	---	---	---	---	0	3	0	0	0	---	---	---	---	---	---
Fishery2011	T062665	T066763	T056325	FRHfa	2008	0.000000	0.000000	22.670036	0.999202	0.999202	C_Se_Se	38	38	0	1	0	1	1	0	1	1	AldB1.122
Fishery2011	T062666	T068548	T068841	FRHfa	2008	0.069023	0.144000	7.589690	0.000353	0.515468	C_U_U	90	81	0	1	0	0	1	1	0	4	Ots_128757.61,Myc.366,Ots_GDH.81x,Ots_HSP90B.385
Fishery2011	T062667	---	---	---	---	---	---	---	---	---	---	54	72	0	0	2	---	---	---	---	---	---
Fishery2011	T062668	---	---	---	---	---	---	---	---	---	---	3	8	0	0	0	---	---	---	---	---	---
Fishery2011	T062669	---	---	---	---	---	---	---	---	---	---	26	27	0	0	0	---	---	---	---	---	---
Fishery2011	T062670	---	---	---	---	---	---	---	---	---	---	48	63	0	0	0	---	---	---	---	---	---
Fishery2011	T062671	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T062672	---	---	---	---	---	---	---	---	---	---	1	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062673	---	---	---	---	---	---	---	---	---	---	0	0	0	0	3	---	---	---	---	---	---
Fishery2011	T062674	---	---	---	---	---	---	---	---	---	---	43	52	0	0	0	---	---	---	---	---	---
Fishery2011	T062675	---	---	---	---	---	---	---	---	---	---	126	134	0	0	0	---	---	---	---	---	---
Fishery2011	T062676	---	---	---	---	---	---	---	---	---	---	26	25	0	0	1	---	---	---	---	---	---
Fishery2011	T062677	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062678	---	---	---	---	---	---	---	---	---	---	0	0	0	0	5	---	---	---	---	---	---
Fishery2011	T062679	---	---	---	---	---	---	---	---	---	---	0	0	0	0	2	---	---	---	---	---	---
Fishery2011	T062680	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062681	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062682	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062683	T068655	T068504	FRHfa	2008	0.000000	0.000000	22.919785	0.999378	0.999378	C_Se_Se	39	36	0	2	0	0	0	0	0	0	---
Fishery2011	T062684	T069275	T069274	FRHfa	2008	0.000635	0.001000	22.621562	0.999162	0.999162	C_Se_Se	63	61	0	1	0	2	0	0	0	0	---
Fishery2011	T062685	---	---	---	---	---	---	---	---	---	---	12	20	0	0	1	---	---	---	---	---	---
Fishery2011	T062686	---	---	---	---	---	---	---	---	---	---	75	83	0	0	0	---	---	---	---	---	---
Fishery2011	T062687	---	---	---	---	---	---	---	---	---	---	1	1	0	0	1	---	---	---	---	---	---
Fishery2011	T062688	T055704	T055705	FRHfa	2008	0.000000	0.000000	23.561092	0.999672	0.999672	C_Se_Se	4	1	0	1	0	1	1	0	0	0	---
Fishery2011	T062689	---	---	---	---	---	---	---	---	---	---	8	12	0	0	0	---	---	---	---	---	---
Fishery2011	T062690	---	---	---	---	---	---	---	---	---	---	5	2	0	0	0	---	---	---	---	---	---
Fishery2011	T062691	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T062692	---	---	---	---	---	---	---	---	---	---	20	23	0	0	0	---	---	---	---	---	---
Fishery2011	T062693	T066837	T055962	FRHsp	2008	0.000000	0.000000	23.923449	0.999772	0.999772	C_Se_Se	92	88	0	1	1	0	1	0	0	0	---
