NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,TK,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,NMFS_DNA_ID,SNPplate,Plate_POS,BOX_ID,DilPlate,SNPplateorder,SNPorder,DilSampleOrder,DNAbox,DNABoxSampleOrder,CONCAT_ID,Omy_AldA,Omy_AldA,SexID,SexID,SH95489-423,SH95489-423,SH100771-63,SH100771-63
M035484,M355,1A,5-21-2008-UBC-98,UBC05210898,3038,,Oncorhynchus,mykiss,50,1.3,,,,,,,5/21/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 964, Upper caudal clip",M035484,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 225m,M035484,MPQ,1A,M355,MPS,7D,41,52,M355,1,MPQ_M355_1A,3,4,0,0,3,1,4,1
M035485,M355,1B,5-21-2008-UBC-102,UBC052108102,3038,,Oncorhynchus,mykiss,177,78.9,,,,,,152318693,5/21/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 7171",M035485,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 225m,M035485,MPQ,1B,M355,MPQ,1B,11,2,M355,2,MPQ_M355_1B,0,0,7,6,0,0,4,1
M035486,M355,1C,5-21-2008-UBC-103,UBC052108103,3038,,Oncorhynchus,mykiss,50,1.1,,,,,,,5/21/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 965, Upper caudal clip",M035486,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 250m,M035486,MPQ,1C,M355,MPQ,1C,23,3,M355,3,MPQ_M355_1C,3,4,6,6,3,1,1,1
M035487,M355,1D,5-21-2008-UBC-116,UBC052108116,3038,,Oncorhynchus,mykiss,150,48.1,,,,,,152318699,5/21/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 7178",M035487,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 275m,M035487,MPQ,1D,M355,MPQ,1D,35,4,M355,4,MPQ_M355_1D,3,4,7,6,3,3,4,1
M035488,M355,1E,5-21-2008-UBC-226,UBC052108226,3038,,Oncorhynchus,mykiss,49,1.2,,,,,,,5/21/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 978, Upper caudal clip",M035488,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 625m,M035488,MPQ,1E,M355,MPQ,1E,47,5,M355,5,MPQ_M355_1E,4,4,7,6,3,1,1,1
M035489,M355,1F,5-21-2008-UBC-227,UBC052108227,3038,,Oncorhynchus,mykiss,48,1.2,,,,,,,5/21/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 979, Upper caudal clip",M035489,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 625m,M035489,MPQ,1F,M355,MPQ,1F,59,6,M355,6,MPQ_M355_1F,3,4,6,6,3,1,1,1
M035490,M355,1G,5-21-2008-UBC-232,UBC052108232,3038,,Oncorhynchus,mykiss,205,109.1,,,,,,152318736,5/21/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 7255",M035490,California,Monterey,Big Creek,,,Big Creek,upper,,,,,Running distance from bottom of reach: 625m,M035490,MPQ,1G,M355,MPQ,1G,71,7,M355,7,MPQ_M355_1G,3,4,7,6,3,1,4,1
M035491,M355,1H,5-27-2008-DC-64,DC05270864,3038,,Oncorhynchus,mykiss,59,2.2,,,,,,,5/27/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1184, Upper caudal clip",M035491,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 225m,M035491,MPQ,1H,M355,MPQ,1H,83,8,M355,8,MPQ_M355_1H,4,4,0,0,1,1,4,4
M035492,M355,2A,5-27-2008-DC-75,DC05270875,3038,,Oncorhynchus,mykiss,61,3.1,,,,,,,5/27/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1186, Upper caudal clip",M035492,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 250m,M035492,MPQ,2A,M355,MPQ,2A,1,9,M355,9,MPQ_M355_2A,4,4,6,6,3,1,4,4
M035493,M355,2B,5-27-2008-DC-84,DC05270884,3038,,Oncorhynchus,mykiss,60,2.2,,,,,,,5/27/08,,AC,7/13/09,,"Gender ID samples, Notes: M-R, Database number: 1189, Upper caudal clip",M035493,California,Monterey,Big Creek,,,Devil's Creek,,,,,,Running distance from bottom of reach: 300m,M035493,MPQ,2B,M355,MPQ,2B,12,10,M355,10,MPQ_M355_2B,3,4,6,6,1,1,4,1
