Gene_Name	Ensemble_ID	Chrom	Positition_1	Position_2	Type	Known_By	In_Island	MaxFST	Source
DNAJC6	ENSTGUG00000010011	8	26340497	26361356	protein_coding	KNOWN	0	0.103004	S/ Warren SI Table 7
TEX2	ENSTGUG00000004694	18	3488630	3519429	protein_coding	KNOWN_BY_PROJECTION	0	0.103004	S/ Warren SI Table 7
MAP2K5	ENSTGUG00000009531	10	19711105	19835004	protein_coding	KNOWN_BY_PROJECTION	0	0.129982	S/ Warren SI Table 7
TLK2	ENSTGUG00000003073	27	3357401	3396021	protein_coding	KNOWN_BY_PROJECTION	0	0.151456	S/ Warren SI Table 7
ARHGAP21	ENSTGUG00000001167	2	18616979	18683257	protein_coding	KNOWN_BY_PROJECTION	0	0.167832	S/ Warren SI Table 7
DVL3	ENSTGUG00000010112	9	18080196	18094106	protein_coding	KNOWN_BY_PROJECTION	0	0.196117	S/ Warren SI Table 7
TCERG1L	ENSTGUG00000011634	6	35563984	35615467	protein_coding	KNOWN_BY_PROJECTION	0	0.197183	S/ Warren SI Table 7
TMEM39B	ENSTGUG00000001431	23	4215415	4223486	protein_coding	KNOWN_BY_PROJECTION	0	0.19977	S/ Warren SI Table 7
NA	ENSTGUG00000001731	2	29667391	29753590	protein_coding	KNOWN	1	0.219214	S/ Warren SI Table 7
UBR1	ENSTGUG00000011165	5	25031883	25078534	protein_coding	KNOWN_BY_PROJECTION	0	0.246065	S/ Warren SI Table 7
EPAS1	ENSTGUG00000003933	3	17890075	17964436	protein_coding	KNOWN_BY_PROJECTION	0	0.249765	S/ Warren SI Table 7
FAM13A1	ENSTGUG00000003051	4	16359650	16463940	protein_coding	KNOWN	0	0.275947	S/ Warren SI Table 7
SPHKAP	ENSTGUG00000008287	9	10793536	10840524	protein_coding	KNOWN_BY_PROJECTION	0	0.291217	S/ Warren SI Table 7
PDE1A	ENSTGUG00000009501	7	19362031	19397622	protein_coding	KNOWN_BY_PROJECTION	0	0.291217	S/ Warren SI Table 7
CREBBP	ENSTGUG00000003971	14	2435692	2535488	protein_coding	KNOWN_BY_PROJECTION	1	0.318261	S/ Warren SI Table 7
FARP1	ENSTGUG00000011061	1	40149532	40314726	protein_coding	KNOWN	0	0.340307	S/ Warren SI Table 7
